Initial temperature;Pressure;Fi;Autoignition time;Final Temperature
1000;;;;
;;1;52,2545;2890,163136
;;1,4;62,2715;2866,292908
;;1,8;71,5515;2640,429917
;;2,2;80,4265;2387,282058
;;2,6;89,0915;2143,370508
;;3;97,6685;1984,076525
;;3,4;99,9995;1177,806298
;;3,8;99,9995;1144,290747
;405300;;;
;;0,2;25,2845;1701,900862
;;0,6;37,2395;2534,824716
;;1;47,4575;2896,301355
;;1,4;56,5385;2870,596999
;;1,8;64,9825;2642,234355
;;2,2;73,0765;2387,983385
;;2,6;80,9895;2142,930695
;;3;88,8255;1962,53217
;;3,4;96,6555;1843,75998
;;3,8;99,9995;1199,812291
1200;;;;
;101325;;;
;;0,2;20,0365;1793,300265
;;0,6;33,4885;2547,442881
;;1;43,3785;2822,615843
;;1,4;51,5755;2830,839347
;;1,8;58,9265;2667,295648
;;2,2;65,8455;2450,379681
;;2,6;72,5515;2225,992536
;;3;79,1695;2026,90669
;;3,4;85,7805;1879,996254
;;3,8;92,4365;1779,057563
;135100;;;
;;0,2;15,7605;1793,493463
;;0,6;26,1015;2558,112387
;;1;33,7345;2845,13734
;;1,4;40,0765;2850,514197
;;1,8;45,7755;2678,304485
;;2,2;51,1465;2455,701724
;;2,6;56,3595;2228,269106
;;3;61,5075;2018,598421
;;3,4;66,6545;1870,072381
;;3,8;71,8385;1749,855775
;168875;;;
;;0,2;13,0355;1793,631013
;;0,6;21,3815;2566,021928
;;1;27,5845;2862,468409
;;1,4;32,7545;2865,333262
;;1,8;37,4105;2686,314288
;;2,2;41,8045;2459,473172
;;2,6;46,0725;2229,783883
;;3;50,2915;2015,483183
;;3,4;54,5105;1865,392851
;;3,8;58,7615;1747,457715
;202650;;;
;;0,2;11,1385;1793,735961
;;0,6;18,0915;2572,244496
;;1;23,3035;2876,530864
;;1,4;27,6635;2877,134835
;;1,8;31,5985;2692,517048
;;2,2;35,3175;2462,336294
;;2,6;38,9315;2230,903384
;;3;42,5065;2013,8714
;;3,4;46,0825;1862,778039
;;3,8;49,6865;1748,800881
;236425;;;
;;0,2;9,7395;1793,819747
;;0,6;15,6635;2577,336405
;;1;20,1465;2888,346869
;;1,4;23,9115;2886,887047
;;1,8;27,3165;2697,523654
;;2,2;30,5395;2464,610469
;;2,6;33,6735;2231,777915
;;3;36,7745;2012,909417
;;3,4;39,8775;1861,279904
;;3,8;43,0055;1751,240189
;270200;;;
;;0,2;8,6645;1793,888819
;;0,6;13,7965;2581,621686
;;1;17,7205;2898,524837
;;1,4;21,0285;2895,161042
;;1,8;24,0275;2701,686293
;;2,2;26,8695;2466,476124
;;2,6;29,6345;2232,486844
;;3;32,3725;2012,287391
;;3,4;35,1125;1860,457655
;;3,8;37,8745;1754,035257
;303975;;;
;;0,2;7,8115;1793,947135
;;0,6;12,3155;2585,304856
;;1;15,7965;2907,456149
;;1,4;18,7435;2902,321229
;;1,8;21,4205;2705,225208
;;2,2;23,9605;2468,0442
;;2,6;26,4345;2233,077256
;;3;28,8835;2011,864639
;;3,4;31,3355;1860,067857
;;3,8;33,8075;1756,916958
;337750;;;
;;0,2;7,1195;1793,99729
;;0,6;11,1125;2588,522857
;;1;14,2335;2915,407345
;;1,4;16,8865;2908,613892
;;1,8;19,3025;2708,286626
;;2,2;21,5975;2469,387297
;;2,6;23,8335;2233,57925
;;3;26,0495;2011,567846
;;3,4;28,2675;1859,961767
;;3,8;30,5035;1759,77374
;371525;;;
;;0,2;6,5455;1794,041066
;;0,6;10,1155;2591,371633
;;1;12,9385;2922,568067
;;1,4;15,3485;2914,213013
;;1,8;17,5475;2710,9722
;;2,2;19,6395;2470,555248
;;2,6;21,6785;2234,013138
;;3;23,7005;2011,355033
;;3,4;25,7245;1860,042826
;;3,8;27,7655;1762,553966
;405300;;;
;;0,2;6,0615;1794,079734
;;0,6;9,2765;2593,920868
;;1;11,8485;2929,078011
;;1,4;14,0535;2919,245883
;;1,8;16,0705;2713,355228
;;2,2;17,9905;2471,583582
;;2,6;19,8635;2234,393212
;;3;21,7215;2011,200469
;;3,4;23,5825;1860,24602
;;3,8;25,4585;1765,231527
1300;;;;
;101325;;;
;;0,2;5,4585;1885,08816
;;0,6;8,6165;2595,416341
;;1;11,0665;2849,337808
;;1,4;13,1205;2865,885519
;;1,8;14,9715;2724,316353
;;2,2;16,7175;2524,510375
;;2,6;18,4105;2313,170955
;;3;20,0805;2103,151384
;;3,4;21,7475;1929,716995
;;3,8;23,4255;1802,707281
;135100;;;
;;0,2;4,3375;1885,440064
;;0,6;6,8425;2607,84752
;;1;8,7745;2872,986351
;;1,4;10,3945;2887,581287
;;1,8;11,8555;2737,75872
;;2,2;13,2355;2531,751948
;;2,6;14,5755;2316,478412
;;3;15,8995;2104,414492
;;3,4;17,2225;1928,334628
;;3,8;18,5545;1803,207071
;168875;;;
;;0,2;3,6235;1885,68768
;;0,6;5,6935;2617,124893
;;1;7,2915;2891,209561
;;1,4;8,6315;2904,028008
;;1,8;9,8415;2747,634904
;;2,2;10,9855;2536,938988
;;2,6;12,0985;2318,794999
;;3;13,1995;2105,284138
;;3,4;14,3005;1927,450557
;;3,8;15,4105;1804,159591
;202650;;;
;;0,2;3,1235;1885,87451
;;0,6;4,8845;2624,463018
;;1;6,2455;2906,012099
;;1,4;7,3885;2917,196777
;;1,8;8,4235;2755,342447
;;2,2;9,4025;2540,907227
;;2,6;10,3565;2320,538082
;;3;11,2995;2105,92858
;;3,4;12,2445;1926,86804
;;3,8;13,1975;1805,452109
;236425;;;
;;0,2;2,7535;1886,022063
;;0,6;4,2795;2630,49496
;;1;5,4645;2918,461368
;;1,4;6,4625;2928,129849
